EmployeeID,EmployeeName,Employee_ID,Name,Department,Monthly_Salary,Income_Tax,PF_Contribution,Insurance_Deduction,Other_Deductions,Net_Salary,Rent_Expense,Grocery_Expense,EMI_or_Loan_Payment,Entertainment_Expense,Other_Expenses,Savings_Amount,Investments,Total_Expenditure,Profit,Class
EMP10025,Vivaan Mehta,11,Employee_12,Marketing,80382,7174,9611,1953,4831,56529,9004,7531,14247,1013,3734,5989,12071,35462,3460,Medium
EMP10026,Amit Agarwal,22,Employee_22,Tech,36952,3279,4554,1695,1427,27160,9013,4624,3029,5309,2858,6406,7960,24974,-12504,Low
EMP10027,Sneha Arora,44,Employee_44,Sales,116674,15764,13916,2468,2954,80672,13378,5508,10817,4348,2276,15292,12595,36447,17370,High
EMP10028,Aditya Bansal,25,Employee_25,Tech,80162,3993,9427,1792,2668,60266,17808,6726,4562,4395,3886,18372,3529,37563,3516,Medium
EMP10029,Ishaan Chopra,49,Employee_49,Marketing,93536,8614,11378,1319,498,73199,19447,3854,12908,4569,1896,7531,13873,42713,8950,Medium
EMP10030,Sanjay Rana,26,Employee_27,HR,50419,2845,6008,2066,1170,38004,18767,4569,923,5912,1223,9741,7790,31746,-10841,Low
EMP10031,Neha Reddy,43,Employee_42,Marketing,86561,9674,10416,2047,1412,63784,11470,7754,3038,2966,1180,16001,973,26555,19750,High
EMP10032,Arjun Sharma,28,Employee_28,Sales,105560,7657,12320,2174,838,81121,15076,3667,7191,6431,3353,18974,6177,35498,20943,High
EMP10033,Nikhil Mehta,16,Employee_16,Tech,61656,3559,7208,2812,1187,46390,6433,6991,13504,1618,4100,19354,13487,32227,-18754,Low
EMP10034,Sanjay Pandey,16,Employee_15,Sales,99391,14550,11911,2889,4852,66465,4782,7914,5426,5017,1107,5678,7140,24255,29249,High
EMP10035,Myra Patel,46,Employee_47,HR,116596,6899,13889,2054,3215,89211,6636,4862,11327,3469,1927,8385,3369,27613,51098,High
EMP10036,Ishaan Jain,44,Employee_44,Sales,117557,15815,14143,2474,3032,81355,13333,5618,10884,4369,2347,15143,12617,36124,17671,High
EMP10037,Aadhya Mehta,3,Employee_3,Sales,84054,6124,10201,2202,2800,63851,18388,3034,12547,2316,3812,16139,6460,39900,867,Low
EMP10038,Reyansh Pandey,37,Employee_37,Tech,82799,12454,10197,2541,1783,56675,8932,4387,13079,2337,4582,15410,1497,33366,5882,Medium
EMP10039,Reyansh Arora,7,Employee_7,Tech,51739,4574,6135,1436,2709,36474,16519,3606,10025,6243,1706,19752,13031,38006,-33406,Low
EMP10040,Ananya Iyer,21,Employee_21,HR,83353,5769,10046,1214,4042,62273,10692,6420,6441,4780,4527,3872,12062,33356,13375,High
EMP10041,Ishaan Chaudhary,9,Employee_9,Tech,83714,6232,9777,1411,3099,61952,8447,7084,6619,6331,2838,6800,5214,31392,18133,High
EMP10042,Priya Kulkarni,38,Employee_39,Tech,58479,4203,6988,2870,4274,40763,10638,5478,13282,2768,1838,2676,12016,34387,-8856,Low
EMP10043,Sanjay Chaudhary,17,Employee_18,Sales,70409,6362,8543,2380,3581,50391,12255,7203,7469,2072,2025,9608,2005,30581,8361,Medium
EMP10044,Arjun Kulkarni,4,Employee_4,Sales,50188,3601,6163,2579,3300,35126,6793,3783,6433,1742,2480,13496,10771,21010,-10502,Low
EMP10045,Sanjay Verma,25,Employee_25,Tech,79057,3923,9536,1804,2708,61737,17702,6715,4717,4470,3841,17919,3601,37684,2483,Medium
EMP10046,Ishaan Saxena,14,Employee_14,Tech,96687,13480,11597,2788,2928,64961,18982,7125,9760,2657,1624,14121,13497,40000,-2462,Low
EMP10047,Ananya Khan,50,Employee_50,Marketing,91394,5176,10897,1545,1466,72097,12387,4142,13198,4726,3796,19486,10266,38580,3495,Medium
EMP10048,Vivaan Sethi,9,Employee_9,Tech,82051,6212,9852,1439,3098,62302,8457,7133,6327,6226,2841,6626,5572,31239,18764,High
EMP10049,Rohit Kapoor,26,Employee_26,Marketing,68527,4880,8212,1089,4876,50057,6115,5622,1147,1442,3407,17681,9455,17503,4644,Medium
EMP10050,Nikhil Bansal,1,Employee_2,Marketing,86179,4707,10116,1197,2258,66804,8806,7103,10064,1252,3263,8628,12921,30340,15501,High
EMP10051,Sanjay Patel,20,Employee_20,Finance,72616,4102,8811,1480,2815,55675,15956,6918,3663,5356,1575,17542,4959,33505,-974,Low
EMP10052,Vivaan Pillai,28,Employee_28,Sales,104071,7777,12663,2235,809,81986,15134,3745,6675,6378,3323,19171,6326,35160,21213,High
EMP10053,Arjun Agarwal,46,Employee_47,HR,115357,6826,13864,2035,3246,90862,6468,4925,10889,3536,1869,8413,3377,27701,49807,High
EMP10054,Riya Singh,7,Employee_7,Tech,50906,4398,6192,1427,2641,36260,16622,3551,10121,6234,1743,19332,13062,37598,-33625,Low
EMP10055,Pooja Verma,44,Employee_44,Sales,117317,15852,13946,2486,2953,82134,13374,5520,10969,4349,2351,15527,12465,36398,17167,High
EMP10056,Neha Yadav,8,Employee_8,Sales,51968,5089,6213,1520,2275,36202,16396,5666,13620,1501,1971,3105,14096,38809,-19705,Low
EMP10057,Vivaan Gupta,48,Employee_47,HR,116717,6699,13961,2057,3203,90322,6341,4933,10963,3540,1905,8568,3545,27789,51752,High
EMP10058,Sanjay Gupta,34,Employee_35,Tech,44181,2630,5383,2804,1751,33989,14010,3301,13660,4018,3422,6623,7924,38184,-21330,Low
EMP10059,Amit Chopra,14,Employee_14,Tech,97554,13662,11636,2806,2989,66220,18850,7106,10176,2612,1647,14222,13437,40291,-2623,Low
EMP10060,Sanjay Jain,16,Employee_17,Tech,47344,5556,5652,2930,1869,31021,9272,7403,14214,6055,2663,8991,9991,39430,-28015,Low
EMP10061,Priya Bansal,36,Employee_36,Marketing,34980,2873,4282,2855,830,25800,19580,5978,3805,6548,2055,5434,6912,37555,-25454,Low
EMP10062,Kavya Agarwal,51,Employee_50,Marketing,90852,5006,10805,1488,1479,70962,12294,4173,13080,4826,3782,19179,10112,38646,4004,Medium
EMP10063,Ishaan Pandey,40,Employee_40,Marketing,82397,6730,9834,2791,1071,61801,17897,5233,5751,6370,3112,15024,12229,38321,-3518,Low
EMP10064,Priya Kulkarni,4,Employee_4,Sales,50742,3524,5964,2580,3267,34970,6913,3754,6374,1757,2489,13262,10985,21119,-10341,Low
EMP10065,Reyansh Verma,2,Employee_2,Marketing,85815,4527,10356,1191,2314,67053,8511,7093,9803,1235,3298,8555,12726,30013,16227,High
EMP10066,Pooja Joshi,5,Employee_6,Sales,39176,1982,4786,1446,2866,27990,6318,4892,14015,1825,2609,11443,8403,29808,-21245,Low
EMP10067,Aditya Pillai,42,Employee_42,Marketing,87840,9633,10440,2035,1432,63233,11369,7683,3094,3056,1194,16470,1033,26710,19801,High
EMP10068,Diya Verma,4,Employee_4,Sales,49609,3534,6237,2581,3262,34891,6260,3793,6293,1725,2478,13075,10920,21042,-10856,Low
EMP10069,Rohit Singh,29,Employee_29,Sales,57785,6702,6708,1623,2430,39843,9374,6288,2082,6436,3641,11627,8426,27794,-8162,Low
EMP10070,Sanjay Jain,18,Employee_18,Sales,70830,6226,8508,2351,3572,49481,12149,7184,7277,2019,2077,9337,1912,30466,7252,Medium
EMP10071,Vihaan Saxena,26,Employee_26,Marketing,68280,4977,8238,1104,4956,50387,6228,5575,877,1567,3336,17613,9242,17506,5141,Medium
EMP10072,Myra Malhotra,44,Employee_44,Sales,117120,15697,13949,2471,3019,81285,13137,5592,11025,4407,2371,15212,12411,36035,17314,High
EMP10073,Karan Rana,34,Employee_34,HR,66298,3601,8148,1657,1572,51250,15281,5086,2296,4692,3307,16180,10353,30872,-5810,Low
EMP10074,Aadhya Saxena,10,Employee_10,Tech,62520,7612,7489,2093,2677,42448,17343,7753,7020,5732,2686,13867,4740,40309,-16069,Low
EMP10075,Kavya Nair,35,Employee_36,Marketing,35287,2947,4299,2856,815,23531,19938,5884,3351,6636,2004,5242,6777,38006,-25937,Low
EMP10076,Aarav Chaudhary,14,Employee_14,Tech,96687,13492,11575,2758,2954,65932,18600,7168,10000,2599,1651,14250,13428,40360,-1966,Low
EMP10077,Amit Chopra,32,Employee_31,Marketing,61951,5644,7443,1342,4024,44161,18734,7410,11705,3436,3447,19518,1189,44582,-22791,Low
EMP10078,Arjun Gupta,48,Employee_48,Finance,35642,2667,4394,1976,1090,26136,12397,6418,14510,6173,3413,8293,12702,43119,-36900,Low
EMP10079,Sanjay Gupta,15,Employee_15,Sales,100465,14670,12117,2900,4779,66314,4822,7893,5429,5020,1079,5809,6827,24118,30041,High
EMP10080,Myra Chopra,8,Employee_8,Sales,51400,4915,6176,1534,2280,35859,16279,5651,13807,1516,1919,3290,13997,38816,-18160,Low
EMP10081,Priya Gupta,14,Employee_14,Tech,96696,13631,11721,2771,2930,64801,18813,7084,10180,2547,1592,14346,13711,40140,-1913,Low
EMP10082,Anika Chopra,23,Employee_23,HR,67181,6408,8058,2768,1129,48465,12349,7484,1587,1404,3655,19641,14765,26536,-12064,Low
EMP10083,Amit Chopra,40,Employee_40,Marketing,82894,6785,9861,2768,1118,61297,17801,5296,5909,6159,3062,14881,12094,37646,-2698,Low
EMP10084,Neha Nair,21,Employee_21,HR,83289,5808,10049,1190,3983,62786,10665,6463,6642,4802,4506,3823,11933,33553,13134,High
EMP10085,Karan Arora,16,Employee_16,Tech,61270,3408,7403,2798,1170,46362,6304,7043,13516,1612,4080,19311,13496,32375,-18922,Low
EMP10086,Amit Thakur,46,Employee_45,HR,103054,6330,12395,1872,3597,78049,16097,4440,9929,5688,2215,15331,9919,38398,14257,High
EMP10087,Vihaan Das,18,Employee_18,Sales,70736,6329,8379,2362,3619,49752,12191,7230,7259,1934,2041,9520,2040,30731,7031,Medium
EMP10088,Vihaan Patel,47,Employee_47,HR,115494,6881,14028,2046,3230,89618,6584,4913,10926,3509,1946,8525,3264,27710,50274,High
EMP10089,Ishaan Mehta,24,Employee_24,Tech,42945,6102,5070,2738,2421,25202,7871,6345,7838,4917,1907,15322,1993,28768,-19908,Low
EMP10090,Aarav Chaudhary,26,Employee_26,Marketing,68814,5073,8098,1126,4931,49644,5766,5635,904,1471,3400,17953,9226,16820,6007,Medium
EMP10091,Diya Verma,25,Employee_25,Tech,78774,4025,9542,1795,2689,61558,17885,6766,4685,4420,3866,18019,3559,37640,2946,Medium
EMP10092,Shaurya Pandey,45,Employee_45,HR,103518,6554,12264,1881,3614,78376,16313,4459,10074,5661,2250,15303,10074,38928,14655,High
EMP10093,Arjun Thakur,41,Employee_41,Sales,72771,10466,8775,1231,2628,50436,7831,7794,4201,1399,1472,16284,6629,23076,4784,Medium
EMP10094,Rahul Malhotra,29,Employee_29,Sales,56642,6750,6762,1646,2464,39450,9272,6273,2023,6503,3638,11740,8408,27677,-8415,Low
EMP10095,Karan Chaudhary,15,Employee_15,Sales,101094,14539,12159,2869,4792,65860,5059,7911,5171,4874,1035,5747,6889,23934,28818,High
EMP10096,Nikhil Trivedi,46,Employee_45,HR,102513,6171,12402,1881,3577,78040,16004,4393,10255,5611,2258,15451,9825,38637,14551,High
EMP10097,Ananya Chaudhary,1,Employee_1,Marketing,115390,6907,13699,2510,2743,87751,9078,4827,2162,1834,3772,19907,2290,21962,43439,High
EMP10098,Rahul Pillai,25,Employee_25,Tech,78943,3933,9547,1807,2706,61046,17704,6719,4767,4408,3873,17793,3610,37537,3154,Medium
EMP10099,Deepak Yadav,7,Employee_7,Tech,51698,4413,6247,1422,2684,36331,16787,3568,10007,6109,1658,19540,13026,37789,-32697,Low
EMP10100,Sara Gupta,9,Employee_9,Tech,82177,6358,9996,1417,3018,62373,8489,7107,6462,6236,2928,6775,5331,31187,18747,High
EMP10101,Riya Chopra,25,Employee_24,Tech,41594,6007,5106,2739,2473,26857,7566,6322,7748,4940,1884,15390,1878,29044,-19987,Low
EMP10102,Diya Nair,0,Employee_1,Marketing,112411,6982,13718,2554,2747,87597,9329,4819,2157,1773,3757,19964,2458,21754,44207,High
EMP10103,Sneha Arora,44,Employee_44,Sales,117410,15730,13939,2472,2947,82007,13348,5549,10979,4460,2345,15056,12393,36214,17577,High
EMP10104,Karan Mehta,7,Employee_8,Sales,51795,4855,6191,1566,2262,36926,16364,5674,13782,1356,1887,3200,14066,39078,-19467,Low
EMP10105,Myra Khan,24,Employee_24,Tech,43055,6012,4883,2708,2386,26030,7651,6398,8040,4937,1908,15002,1790,29241,-19267,Low
EMP10106,Krishna Chaudhary,11,Employee_11,HR,96952,9595,11591,2561,928,71843,19156,3851,2422,6182,1723,15795,10872,33314,11787,High
EMP10107,Neha Patel,17,Employee_17,Tech,45647,5350,5725,2961,1818,31705,9328,7236,14242,5897,2791,9046,9872,39573,-28614,Low
EMP10108,Aadhya Verma,8,Employee_8,Sales,51545,4861,6065,1583,2299,35931,16464,5666,13803,1435,1958,2917,14126,39036,-20038,Low
EMP10109,Aadhya Kapoor,34,Employee_35,Tech,44279,2376,5359,2828,1708,33256,13825,3221,13918,3956,3361,6931,8064,38170,-19960,Low
EMP10110,Aadhya Sharma,35,Employee_35,Tech,45507,2597,5359,2803,1721,32266,13714,3249,13573,4051,3479,7215,8102,38334,-21064,Low
EMP10111,Rahul Pillai,33,Employee_33,Finance,109080,7746,13152,1693,2142,84114,16225,5133,8235,5019,1977,3537,2395,36621,41394,High
EMP10112,Reyansh Thakur,4,Employee_5,Tech,36131,4349,4287,2107,1528,23608,11228,3595,8964,3413,4387,13899,10366,31755,-32783,Low
EMP10113,Kavya Mehta,42,Employee_42,Marketing,85899,9731,10510,2056,1432,63250,11271,7695,3045,3105,1131,16139,761,26498,19108,High
EMP10114,Nikhil Joshi,39,Employee_39,Tech,59741,4079,7095,2897,4226,41395,10594,5486,13007,2882,1911,2665,11849,34060,-7779,Low
EMP10115,Reyansh Khan,40,Employee_41,Sales,72652,10696,8799,1215,2690,51402,8101,7720,4162,1323,1479,16292,6586,23049,4593,Medium
EMP10116,Nikhil Thakur,28,Employee_28,Sales,105367,8017,12666,2205,778,80974,15406,3675,6765,6365,3421,18961,6237,35172,20798,High
EMP10117,Nikhil Bansal,6,Employee_7,Tech,50937,4392,6044,1427,2673,36403,16816,3655,9942,6227,1725,19603,12942,37716,-34220,Low
EMP10118,Aarav Kulkarni,9,Employee_9,Tech,83502,6385,9834,1432,3085,62386,8625,7083,6215,6202,2913,6707,5284,31129,19165,High
EMP10119,Rohit Iyer,9,Employee_8,Sales,50293,4942,6290,1546,2319,36152,16073,5665,13734,1515,1943,2834,14468,38723,-20167,Low
EMP10120,Vivaan Nair,11,Employee_12,Marketing,79523,7012,9520,1966,4841,57092,9167,7500,13947,1141,3819,5507,12305,35585,2632,Medium
EMP10121,Aarav Patel,34,Employee_34,HR,66253,3719,7927,1703,1606,50758,15390,5162,2949,4553,3302,15983,10078,30953,-5510,Low
EMP10122,Riya Thakur,33,Employee_33,Finance,109512,7614,13045,1712,2158,84686,16298,5172,8086,4971,2019,3566,2385,36601,41784,High
EMP10123,Anika Malhotra,48,Employee_48,Finance,34664,2746,4219,1967,1069,25746,12423,6377,14440,6094,3433,8328,13067,42822,-38174,Low
EMP10124,Rahul Gupta,23,Employee_23,HR,65200,6494,7796,2805,1087,47512,12043,7490,1467,1371,3646,19433,14616,26303,-13356,Low
EMP10125,Krishna Kapoor,24,Employee_24,Tech,43880,5975,5092,2760,2465,26181,7823,6283,8038,4946,1949,15131,2073,28864,-20076,Low
EMP10126,Vivaan Reddy,38,Employee_37,Tech,83538,12211,9985,2504,1764,56485,8811,4268,13236,2534,4625,15734,1310,33589,5987,Medium
EMP10127,Nikhil Khan,35,Employee_35,Tech,44016,2570,5519,2834,1704,32279,13827,3188,13707,3988,3367,6834,7963,38296,-20969,Low
EMP10128,Riya Malhotra,43,Employee_44,Sales,116280,15860,14043,2479,2943,81231,13418,5553,10871,4253,2304,15351,12403,36529,17797,High
EMP10129,Sneha Mehta,40,Employee_40,Marketing,82990,6824,9822,2772,1043,62043,17492,5210,5806,6234,3105,15071,12030,38058,-3284,Low
EMP10130,Reyansh Chopra,22,Employee_22,Tech,38702,3483,4576,1701,1430,26512,9068,4586,3201,5371,2850,6632,7937,25107,-13544,Low
EMP10131,Vihaan Das,27,Employee_27,HR,50304,2873,6060,2038,1128,39135,19009,4534,1154,5956,1261,9706,7556,31974,-10218,Low
EMP10132,Diya Yadav,36,Employee_35,Tech,43911,2417,5209,2809,1743,32660,14081,3250,13394,3953,3405,7154,7983,38526,-21607,Low
EMP10133,Kavya Nair,1,Employee_1,Marketing,114620,7039,13464,2502,2716,87793,8919,4788,2176,1876,3750,19667,2476,21679,45233,High
EMP10134,Sai Sharma,35,Employee_35,Tech,44757,2601,5374,2808,1738,32037,13938,3331,13870,4053,3361,6981,8184,38479,-20032,Low
EMP10135,Reyansh Nair,37,Employee_37,Tech,82520,12236,10011,2512,1727,56324,8966,4314,13105,2422,4634,15405,1145,33581,5017,Medium
EMP10136,Aarav Chopra,47,Employee_47,HR,117658,6662,13869,2076,3260,90175,6480,4970,10886,3613,1930,8315,3333,27994,49353,High
EMP10137,Karan Khan,14,Employee_14,Tech,97855,13592,11446,2781,2939,65599,19035,7182,9956,2567,1598,14100,13570,40087,-1535,Low
EMP10138,Diya Arora,3,Employee_3,Sales,85417,6128,10338,2205,2838,64613,18281,3018,12209,2383,3841,15872,6614,39501,1648,Low
EMP10139,Arjun Pandey,1,Employee_1,Marketing,114113,6781,13734,2499,2718,88643,8715,4801,2212,1823,3753,19774,2382,21679,43323,High
EMP10140,Diya Chopra,5,Employee_5,Tech,35362,4239,4348,2118,1519,22144,10972,3642,9105,3530,4467,13614,10364,31697,-32570,Low
EMP10141,Aadhya Singh,27,Employee_26,Marketing,68997,4869,8254,1116,4925,50081,6196,5540,755,1368,3392,17591,9191,17595,5367,Medium
EMP10142,Sanjay Sethi,14,Employee_14,Tech,96247,13625,11631,2793,2984,65367,18825,7149,10173,2676,1589,14070,13369,40154,-1861,Low
EMP10143,Kavya Mehta,39,Employee_39,Tech,59260,4266,7061,2879,4278,40710,10746,5529,13546,2817,1943,2590,11923,34313,-8265,Low
EMP10144,Rahul Trivedi,27,Employee_27,HR,50780,2952,5981,2042,1167,38132,18916,4462,1052,5844,1251,9783,7775,31478,-10852,Low
EMP10145,Pooja Das,9,Employee_9,Tech,82069,6325,9855,1469,3096,62194,8377,7093,6484,6320,2893,6659,5333,31327,18583,High
EMP10146,Vivaan Sethi,15,Employee_15,Sales,99698,14676,12092,2889,4798,67141,4921,7886,5331,5014,1075,5785,6750,24239,29494,High
EMP10147,Sara Agarwal,15,Employee_15,Sales,101459,14669,12086,2885,4851,66237,4918,7894,5157,4991,1108,5744,7050,24449,28680,High
EMP10148,Manish Pillai,26,Employee_26,Marketing,68451,5002,8298,1150,4912,49462,5920,5543,873,1400,3410,17597,9129,17199,5842,Medium
EMP10149,Pooja Trivedi,42,Employee_42,Marketing,88044,9573,10443,2054,1513,62920,10982,7746,2973,3105,1139,16014,1058,26471,19799,High
EMP10150,Rahul Singh,13,Employee_13,Tech,63745,8302,7696,1710,1479,45791,9800,6551,2651,4681,1013,10696,9166,24553,2103,Low
EMP10151,Reyansh Gupta,32,Employee_32,Sales,69771,10008,8227,1191,1605,47571,9612,3955,14610,1995,4063,7020,5338,33823,1969,Low
EMP10152,Sanjay Kapoor,39,Employee_39,Tech,59861,4274,7100,2873,4319,40112,10892,5548,13523,2873,1954,2622,11619,34247,-8139,Low
EMP10153,Krishna Chaudhary,49,Employee_49,Marketing,94914,8428,11474,1349,538,72288,19544,3885,12845,4499,1891,7452,14103,42568,7893,Medium
EMP10154,Aarav Agarwal,32,Employee_32,Sales,68914,9780,8313,1225,1626,48803,9434,3991,14620,1790,4057,7032,5671,33786,2028,Low
EMP10155,Kavya Rana,4,Employee_4,Sales,49544,3667,6076,2561,3269,35997,6767,3793,6212,1837,2509,13151,10978,21036,-10793,Low
EMP10156,Ananya Das,30,Employee_30,HR,39202,1764,4756,2268,1259,29437,6298,7390,3455,5221,2078,6485,6471,24471,-7422,Low
EMP10157,Nikhil Pillai,37,Employee_37,Tech,83621,12126,10026,2552,1775,55232,9043,4297,13119,2502,4633,15634,1361,33269,6095,Medium
EMP10158,Myra Chopra,23,Employee_23,HR,65658,6353,8055,2765,1167,48269,12417,7484,1516,1404,3683,19716,14652,26517,-11901,Low
EMP10159,Vihaan Verma,39,Employee_39,Tech,59090,4183,7023,2881,4230,41031,10637,5485,13470,2958,1991,2947,12065,34319,-7421,Low
EMP10160,Sara Sethi,45,Employee_45,HR,102840,6543,12407,1836,3642,78380,16378,4436,10155,5624,2236,15378,9850,38563,14276,High
EMP10161,Aarav Rana,14,Employee_15,Sales,99208,14614,12063,2877,4849,65382,4951,7894,4989,5001,1118,5625,7110,24183,29554,High
EMP10162,Ishaan Pillai,43,Employee_43,Sales,100528,12055,12192,2944,2126,71901,10910,6496,957,6404,4754,13029,10920,29980,18324,High
EMP10163,Aadhya Bansal,29,Employee_29,Sales,56568,6554,6907,1646,2429,39512,9551,6250,2012,6513,3615,12095,8324,27635,-7752,Low
EMP10164,Krishna Nair,36,Employee_36,Marketing,35264,3001,4090,2835,848,23736,19753,5864,3588,6646,2004,5348,6918,37726,-25436,Low
EMP10165,Anika Gupta,13,Employee_13,Tech,63254,8264,7703,1696,1453,46145,9916,6559,2753,4817,1012,10485,9112,24405,2073,Low
EMP10166,Rahul Arora,32,Employee_32,Sales,69388,9918,8345,1232,1572,47553,9153,3981,14407,1796,4010,7029,5335,33514,615,Low
EMP10167,Aadhya Gupta,8,Employee_7,Tech,50248,4351,6085,1405,2713,37347,16548,3652,9716,6223,1693,19581,12977,38231,-32822,Low
EMP10168,Diya Malhotra,22,Employee_22,Tech,36830,3286,4679,1694,1374,27185,8989,4587,3027,5358,2876,6685,7802,25136,-12678,Low
EMP10169,Kavya Sethi,28,Employee_28,Sales,104174,7826,12632,2211,866,81995,14926,3606,7076,6271,3424,19099,6063,35580,20450,High
EMP10170,Deepak Sethi,2,Employee_2,Marketing,85886,4470,10235,1184,2349,66888,8835,7261,9506,1156,3329,8325,12806,30654,16375,High
EMP10171,Vihaan Mehta,42,Employee_42,Marketing,86746,9591,10520,2055,1407,63330,11342,7711,3133,3066,1223,16301,860,26481,20429,High
EMP10172,Sai Sharma,45,Employee_45,HR,102582,6356,12301,1856,3609,77888,16249,4477,10070,5659,2164,15335,10017,38803,14373,High
EMP10173,Deepak Chopra,6,Employee_6,Sales,39114,2049,4706,1469,2851,28490,6351,4970,14231,1797,2561,11263,8240,29898,-19406,Low
EMP10174,Riya Trivedi,28,Employee_28,Sales,105098,7658,12641,2222,830,81264,15293,3671,7015,6400,3386,19137,6250,35409,21407,High
EMP10175,Diya Jain,29,Employee_28,Sales,104806,7695,12531,2207,786,81864,15258,3631,6843,6358,3385,19138,6192,35557,21239,High
EMP10176,Ishaan Reddy,44,Employee_44,Sales,116944,15644,14084,2480,2965,80524,13311,5494,10831,4350,2388,15289,12462,36508,17372,High
EMP10177,Vivaan Jain,44,Employee_44,Sales,116300,15747,14071,2476,3019,83287,13170,5481,10796,4317,2385,15267,12456,36336,18311,High
EMP10178,Sai Sharma,20,Employee_20,Finance,74703,4077,8841,1490,2785,55940,16014,6918,3358,5467,1497,17349,4647,33418,819,Low
EMP10179,Rahul Singh,30,Employee_30,HR,41074,2011,4789,2260,1430,29586,6309,7397,3814,5133,2092,6275,6681,24378,-8683,Low
EMP10180,Aarav Kapoor,12,Employee_11,HR,97430,9437,11523,2525,879,72321,19085,3849,2443,6125,1634,15821,10846,33090,13392,High
EMP10181,Rohit Kulkarni,29,Employee_28,Sales,105565,7775,12493,2202,781,81522,15099,3623,6894,6430,3423,19191,6265,34973,19830,High
